,endereço,bairro,point_location,latitude,longitude
0,"R. José de Oliveira Coelho, 200 - Vila Andrade, São Paulo - SP, 05727-240, Brazil",Vila Andrade,"23 37m 28.7148s S, 46 44m 19.55s W",-23.6246294,-46.7387574
1,"R. Araquã, 70 - Bela Vista, São Paulo - SP, 01306-020, Brazil",Bela Vista,"23 33m 11.0052s S, 46 38m 55.3855s W",-23.55317,-46.648687
2,"Rua Correia de Lemos, 327 - Vila da Saúde, São Paulo - SP, 04140-000, Brazil",Vila da Saúde,"23 36m 24.8717s S, 46 38m 4.00848s W",-23.6070945,-46.6344145
3,"R. Itapura, 129 - Vila Gomes Cardim, São Paulo - SP, 03310-000, Brazil",Vila Gomes Cardim,"23 32m 23.086s S, 46 34m 3.2016s W",-23.5397323,-46.5675586
4,"R. Garapeba, 255 - Jardim Vila Mariana, São Paulo - SP, 04116-210, Brazil",Jardim Vila Mariana,"23 35m 31.1615s S, 46 37m 31.8576s W",-23.5919927,-46.6254807
5,"Condomínio Edificio Harmony Plan - R. Flórida, 169 - Vila Cordeiro, São Paulo - SP, 04565-000, Brazil",Vila Cordeiro,"23 36m 58.7837s S, 46 40m 57.1447s W",-23.6163297,-46.6825409
6,"R. Dr. Vila Nova, 300 - Vila Buarque, São Paulo - SP, 01222-020, Brazil",Vila Buarque,"23 32m 47.1815s S, 46 39m 1.55772s W",-23.5464492,-46.6503878
7,"Praça da Árvore, 300 - Bosque da Saúde, São Paulo - SP, 04142-000, Brazil",Bosque da Saúde,"23 36m 41.94s S, 46 38m 6.93348s W",-23.6115566,-46.6351986
8,"R. Frederico Guarinon, 125 - Jardim Ampliacao, São Paulo - SP, 05713-460, Brazil",Jardim Ampliacao,"23 37m 32.7594s S, 46 43m 51.7721s W",-23.6257665,-46.7310478
9,"Rua Tonelero, 593 - Vila Ipojuca, São Paulo - SP, 05056-000, Brazil",Vila Ipojuca,"23 32m 0.02112s S, 46 42m 15.5207s W",-23.533349,-46.704305
10,"Av. Jurema, 45 - Indianópolis, São Paulo - SP, 04079-000, Brazil",Indianópolis,"23 36m 23.0587s S, 46 39m 40.2426s W",-23.6063222,-46.6611454
11,"Condomínio Edifício Luiz Meirelles - Alameda Lorena, 174 - Jardim Paulista, São Paulo - SP, 01424-000, Brazil",Jardim Paulista,"23 34m 21.1897s S, 46 39m 23.4835s W",-23.5725935,-46.6565657
