latitude,longitude
-23.6246294,-46.7387574
-23.55317,-46.648687
-23.6070945,-46.6344145
-23.5397323,-46.5675586
-23.5919927,-46.6254807
-23.6163297,-46.6825409
-23.5464492,-46.6503878
-23.6115566,-46.6351986
-23.6257665,-46.7310478
-23.533349,-46.704305
-23.6063222,-46.6611454
-23.5725935,-46.6565657
-23.5757016,-46.6494995
-23.5620194,-46.6468708
-23.570763,-46.695001
-23.6251525,-46.6838094
-23.6243125,-46.6234206
-23.63904,-46.735637
-23.5588825,-46.6730892
-23.60689,-46.618286
-23.5393116,-46.7056174
-23.5135799,-46.7138416
-23.5663346,-46.6604153
-23.4914289,-46.631757
-23.5721308,-46.62641
-23.5678186,-46.628309
-23.5457309,-46.6577247
-23.5565664,-46.6952374
-23.5982391,-46.6670927
-23.5816583,-46.6924282
-23.5883999,-46.6401153
-23.571668,-46.6343423
-23.5915449,-46.6273373
-23.5651347,-46.6589002
-23.5467306,-46.5897511
-23.5911488,-46.719962
-23.5197194,-46.7242167
-23.5940805,-46.6253567
-23.5965821,-46.6674053
-23.5665198,-46.6644941
-23.5830901,-46.6292869
-23.6020722,-46.6693546
-23.5733092,-46.6560698
-23.5762962,-46.6449459
-23.5934543,-46.6843239
-23.5528996,-46.6779525
-23.6007618,-46.6446961
-23.5960112,-46.64136
-23.6099746,-46.6804737
-23.612045,-46.7327385
-23.580753,-46.692954
-23.5865922,-46.6263166
-23.4920745,-46.6296689
-23.641774,-46.7201059
-23.5745858,-46.6430151
-23.6190741,-46.6409573
-23.521994,-46.712007
-23.5697666,-46.6639718
-23.5700104,-46.6534619
-23.554079,-46.6900601
-23.6098979,-46.682115
-23.621793,-46.731906
-23.6061213,-46.6350447
-23.5791937,-46.6925563
-23.5792526,-46.6720447
-23.6062558,-46.6575501
-23.5640714,-46.6829393
-23.5721126,-46.6254552
-23.5603598,-46.6765225
-23.6376832,-46.7370016
-23.5401935,-46.6555082
-23.579425,-46.6723432
-23.6109976,-46.6593853
-23.616918,-46.733036
-23.5646558,-46.6848983
-23.618189,-46.6740037
-23.6272122,-46.7198961
-23.5728344,-46.658414
-23.6218283,-46.6747552
-23.6079969,-46.7227703
-23.549452,-46.6542286
-23.5521276,-46.6903137
-23.5663315,-46.6457937
-23.6000081,-46.6878647
-23.587501,-46.632405
-23.5455194,-46.6554409
-23.5998122,-46.7313984
-23.5525658,-46.5747897
-23.6269393,-46.734808
-23.5874835,-46.6783846
-23.586803,-46.631595
-23.5608129,-46.6057828
-23.5685433,-46.6337633
-23.5627398,-46.6684565
-23.611741,-46.658524
-23.5659481,-46.6551647
-23.5959967,-46.6748306
-23.5983982,-46.6421498
-23.6263042,-46.7234676
-23.5674742,-46.658706
-23.589206,-46.6298121
-23.5974059,-46.7234728
-23.6021299,-46.6445558
-23.6134577,-46.6792943
-23.6131532,-46.7061489
-23.6216337,-46.7372647
-23.5524617,-46.6993093
-23.6129473,-46.6244062
-23.5690897,-46.6535164
-23.6224747,-46.7384175
-23.5708349,-46.6323273
-23.6276318,-46.6735386
-23.5550735,-46.6579607
-23.5623657,-46.6610021
-23.5796413,-46.5887047
-23.6133594,-46.6811316
-23.5604996,-46.66539
-23.5568506,-46.657206
-23.6102772,-46.7065684
-23.5541189,-46.6530597
-23.6168015,-46.6815814
-23.525588,-46.729506
-23.5725783,-46.6460746
-23.5978861,-46.7243159
-23.5744485,-46.632681
-23.619735,-46.6735144
-23.6214288,-46.6380844
-23.5735034,-46.6431252
-23.6361373,-46.7390978
-23.5912012,-46.6358037
-23.5859497,-46.7199379
-23.5337751,-46.67743
-23.6443676,-46.6674302
-23.565116,-46.6863618
-23.5420918,-46.5699879
-23.5607639,-46.6816284
-23.62029,-46.7377585
-23.532772,-46.660198
-23.5641704,-46.6579093
-23.5722123,-46.61784
-23.6240405,-46.6383954
-23.563983,-46.6954818
-23.5709223,-46.6504523
-23.5296784,-46.6901401
-23.5715489,-46.6545361
-23.617215,-46.676077
-23.552762,-46.6804592
-23.583842,-46.6803109
-23.6199452,-46.6379632
-23.5030877,-46.6372762
-23.6297233,-46.7319318
-23.5938703,-46.6723521
-23.5722685,-46.6592238
-23.5332604,-46.6813824
-23.554969,-46.65158
-23.5520146,-46.6497129
-23.6436218,-46.634931
-23.5518287,-46.6914011
-23.5934259,-46.6741648
-23.6075023,-46.7073718
-23.5377673,-46.6545505
-23.5448204,-46.6533502
-23.5931858,-46.6240003
-23.6020652,-46.6747383
-23.616525,-46.635171
-23.6254459,-46.623809
-23.6036651,-46.6264489
-23.5500013,-46.5725129
-23.5245159,-46.6978002
-23.5608466,-46.5855257
-23.6125316,-46.6803615
-23.5356866,-46.6683562
-23.5367988,-46.6675481
-23.5996186,-46.6639073
-23.6165207,-46.6717861
-23.5548938,-46.6742594
-23.5675804,-46.6469312
-23.6191123,-46.6367869
-23.5662422,-46.6585863
-23.601446,-46.717651
-23.574973,-46.6505731
